embedding_size,window_size,algorithm,n_clusters,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,fmi,vi,micro_precision,micro_recall,micro_f1,noise_points,noise_percentage,clustered_points,clustered_percentage,total_points_in_embedding,compared_points
50,2,"DBSCAN (cosine, eps=0.025, min_samples=2)",2,-0.14047294183877337,8.99804697175165,0.8643712121094502,-0.00020466148725862293,0.025595396190352105,0.013251313013658127,0.37385521596370513,0.02559539619035211,0.30471452262497034,0.3994584206848358,0.34571274890336806,0.24788778774377387,3.056880400613,0.15666178623718888,0.15666178623718888,0.15666178623718888,6.0,0.8784773060029283,677.0,99.12152269399708,683,683
50,2,"DBSCAN (cosine, eps=0.025, min_samples=3)",2,-0.14047294183877337,8.99804697175165,0.8643712121094502,-0.00020466148725862293,0.025595396190352105,0.013251313013658127,0.37385521596370513,0.02559539619035211,0.30471452262497034,0.3994584206848358,0.34571274890336806,0.24788778774377387,3.056880400613,0.15666178623718888,0.15666178623718888,0.15666178623718888,6.0,0.8784773060029283,677.0,99.12152269399708,683,683
50,2,"DBSCAN (cosine, eps=0.025, min_samples=4)",2,-0.14047294183877337,8.99804697175165,0.8643712121094502,-0.00020466148725862293,0.025595396190352105,0.013251313013658127,0.37385521596370513,0.02559539619035211,0.30471452262497034,0.3994584206848358,0.34571274890336806,0.24788778774377387,3.056880400613,0.15666178623718888,0.15666178623718888,0.15666178623718888,6.0,0.8784773060029283,677.0,99.12152269399708,683,683
50,2,"DBSCAN (cosine, eps=0.025, min_samples=5)",2,-0.14047294183877337,8.99804697175165,0.8643712121094502,-0.00020466148725862293,0.025595396190352105,0.013251313013658127,0.37385521596370513,0.02559539619035211,0.30471452262497034,0.3994584206848358,0.34571274890336806,0.24788778774377387,3.056880400613,0.15666178623718888,0.15666178623718888,0.15666178623718888,6.0,0.8784773060029283,677.0,99.12152269399708,683,683
50,2,"DBSCAN (cosine, eps=0.05, min_samples=2)",1,,,,0.0006996984821263566,0.008555495846768568,0.004317597432783987,0.4634835843735349,0.008555495846768568,0.41127450980392155,0.5625,0.4751447269066197,0.25323866368566555,3.031848078201605,0.1581259150805271,0.1581259150805271,0.1581259150805271,3.0,0.43923865300146414,680.0,99.56076134699853,683,683
50,2,"DBSCAN (cosine, eps=0.05, min_samples=3)",1,,,,0.0006996984821263566,0.008555495846768568,0.004317597432783987,0.4634835843735349,0.008555495846768568,0.41127450980392155,0.5625,0.4751447269066197,0.25323866368566555,3.031848078201605,0.1581259150805271,0.1581259150805271,0.1581259150805271,3.0,0.43923865300146414,680.0,99.56076134699853,683,683
50,2,"DBSCAN (cosine, eps=0.05, min_samples=4)",1,,,,0.0006996984821263566,0.008555495846768568,0.004317597432783987,0.4634835843735349,0.008555495846768568,0.41127450980392155,0.5625,0.4751447269066197,0.25323866368566555,3.031848078201605,0.1581259150805271,0.1581259150805271,0.1581259150805271,3.0,0.43923865300146414,680.0,99.56076134699853,683,683
50,2,"DBSCAN (cosine, eps=0.05, min_samples=5)",1,,,,0.0006996984821263566,0.008555495846768568,0.004317597432783987,0.4634835843735349,0.008555495846768568,0.41127450980392155,0.5625,0.4751447269066197,0.25323866368566555,3.031848078201605,0.1581259150805271,0.1581259150805271,0.1581259150805271,3.0,0.43923865300146414,680.0,99.56076134699853,683,683
50,2,"DBSCAN (cosine, eps=0.1, min_samples=2)",1,,,,0.0006996984821263566,0.008555495846768568,0.004317597432783987,0.4634835843735349,0.008555495846768568,0.41127450980392155,0.5625,0.4751447269066197,0.25323866368566555,3.031848078201605,0.1581259150805271,0.1581259150805271,0.1581259150805271,3.0,0.43923865300146414,680.0,99.56076134699853,683,683
50,2,"DBSCAN (cosine, eps=0.1, min_samples=3)",1,,,,0.0006996984821263566,0.008555495846768568,0.004317597432783987,0.4634835843735349,0.008555495846768568,0.41127450980392155,0.5625,0.4751447269066197,0.25323866368566555,3.031848078201605,0.1581259150805271,0.1581259150805271,0.1581259150805271,3.0,0.43923865300146414,680.0,99.56076134699853,683,683
