presence,0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33
Additive,0.0,0.0,24.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0
Animal Product,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bakery,0.0,0.0,17.857142857142858,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,0.0,0.0,28.57142857142857,0.0,3.571428571428571,3.571428571428571,0.0,0.0,0.0,7.142857142857142,0.0,0.0,3.571428571428571,0.0,3.571428571428571,17.857142857142858
Berry,0.0,3.0303030303030303,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,6.0606060606060606,6.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.484848484848484,0.0,0.0,0.0,0.0,6.0606060606060606,0.0,18.181818181818183,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0
Beverage,0.0,0.0,16.666666666666664,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,8.333333333333332,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Beverage Alcoholic,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,33.33333333333333,6.666666666666667,13.333333333333334,0.0,0.0,6.666666666666667,13.333333333333334
Beverage Caffeinated,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664
Cabbage,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,18.75,18.75,0.0,0.0,0.0,0.0,6.25,0.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5,0.0,6.25,0.0,0.0,0.0,12.5,0.0,0.0,0.0
Cereal,0.0,14.285714285714285,0.0,0.0,0.0,14.285714285714285,0.0,0.0,23.809523809523807,0.0,0.0,23.809523809523807,4.761904761904762,0.0,4.761904761904762,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0
Dairy,0.0,0.0,6.25,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,6.25,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,6.25
